body,title,url
"Freddie Mercury no solo es sinónimo de un amplio rango vocal, un talento único para la composición y un desplante inigualable sobre el escenario. Es también considerado rupturista y un ícono de la comunidad homosexual, tras revelar públicamente su orientación sexual siendo una estrella en la escena musical de los 70 y 80. ","La eterna amistad de Freddie Mercury y Mary Austin: “Despierto o dormido, me sentaba todos los días junto a su cama”",https://www.latercera.com//culto/2020/07/13/la-eterna-amistad-de-freddie-mercury-y-mary-austin-despierto-o-dormido-me-sentaba-todos-los-dias-junto-a-su-cama/
"El presidente brasileño Jair Bolsonaro, en cuarentena desde hace casi una semana tras dar positivo por coronavirus, anunció este lunes que se realizará un nuevo examen mañana martes y confesó que esperará ansioso los resultados porque no soporta quedarse en casa.","Bolsonaro y su cuarentena por coronavirus: “No aguanto esta rutina de quedarme en casa, es horrible”",https://www.latercera.com//mundo/noticia/bolsonaro-y-su-cuarentena-por-coronavirus-no-aguanto-esta-rutina-de-quedarme-en-casa-es-horrible/YAKRUOKYVJEOZNGCCBMDHXTNBM/
"El subsecretario de Redes Asistenciales, Arturo Zúñiga, se refirió esta noche al sumario instruido por Contraloría que detectó “inconsistencias” en las cifras de contagiados proporcionadas por el sistema Epivigila, el que no consideró el 8 de junio pasado todos los casos de Covid confirmados por los laboratorios que hacen el examen PCR.",Subsecretario Zúñiga y sumario de Contraloría: “Los casos faltantes se sumaron el 16 de junio”,https://www.latercera.com//nacional/noticia/subsecretario-zuniga-y-sumario-de-contraloria-los-casos-faltantes-se-sumaron-el-16-de-junio/FORUVR2AXFADJKV56NLQGO2ESU/
"Una segunda ola de nuevo coronavirus este invierno podría causar hasta 120.000 muertos en los hospitales del Reino Unido en el peor escenario “razonable” sin preparación adecuada, según un estudio de la Academia de Ciencias Médicas.",Científicos estiman que una segunda ola de Covid-19 podría causar 120.000 muertos en Reino Unido ,https://www.latercera.com//mundo/noticia/cientificos-dicen-que-una-segunda-ola-de-covid-19-podria-causar-120000-muertos-en-reino-unido/LCJR4T2QGBGZXCDNICGSFIOUFI/
"Autor: Equipo Glamorama / 11 julio, 2020",,http://glamorama.latercera.com/noticias/2020/07/kel-calderon-sobre-la-cuarentena-junto-a-su-nana-y-madrina-de-confirmacion-dicen-deja-que-se-vaya-para-su-casa-y-la-nancy-dice-que-se-vienen-a-meter-yo-hago-lo-que-quiero.shtml/
"El gobierno de Bolivia comenzará a negociar la intervención de hospitales y cementerios privados ante el riesgo de colapso de los servicios públicos sanitarios y mortuorios por la pandemia, anunció este lunes el ministro de Gobierno (Interior), Arturo Murillo.",Bolivia anuncia intervención en clínicas y cementerios privados en medio de la crisis del coronavirus ,https://www.latercera.com//mundo/noticia/bolivia-anuncia-intervencion-en-clinicas-y-cementerios-privados-en-medio-de-la-crisis-del-coronavirus/2SS46YVQWBDELABUHGPTC6M5BA/
"Hace pocos días te contamos de una tecnología que Toyota introdujo en Japón para evitar las aceleraciones por error en vehículos automáticos, lo que diariamente ocasiona accidentes con diferentes resultados alrededor del mundo. En redes sociales algunos usuarios comentaron que esta equivocación podría evitarse simplemente administrando los pedales con ambos pies. ¿Es realmente así? ¿Los autos automáticos se conducen con uno o con dos pies?",¿Con uno o los dos pies? Cómo se conduce un vehículo automático,https://www.latercera.com//mtonline/noticia/con-uno-o-los-dos-pies-como-se-conduce-un-vehiculo-automatico/VU7GKTCR4RDDPAUXFMDANVEN5E/
FUNGI FEST,Micelio,https://www.latercera.com//masdeco/micelio/
"Autor: C. F. R. / 11 julio, 2020",,http://glamorama.latercera.com/noticias/2020/07/me-voy-al-hotel-y-lleno-la-tina-de-cerveza-me-voy-a-un-restaurante-don-francisco-nos-invito-y-me-agarro-a-combos-marcelo-chino-rios-revela-como-celebro-tras-convertirse-en-numero-uno-d.shtml/
Buenas noticias para todos los fanáticos de Star Wars y es que durante la jornada de hoy fue anunciada una nueva serie animada la cual tendrá por nombre Star Wars: The Bad Batch y se estrenará en 2021 a través de Disney+. ,‘The Bad Batch’: La nueva serie animada de Star Wars que se estrenará en 2021,https://www.latercera.com//mouse/the-bad-batch-la-nueva-serie-animada-de-star-wars-que-se-estrenara-en-2021/
Ingredientes para 24 unidades,Galletas cocadas,https://www.latercera.com//paula/galletas-cocadas/
Este lunes se realizó la presentación oficial de Manuel Pellegrini como nuevo técnico del Real Betis por las próximas tres temporadas.,Pellegrini es presentado en el Real Betis: “Volver a España después de 10 años es un placer”,https://www.latercera.com//el-deportivo/noticia/pellegrini-es-presentado-en-el-real-betis-volver-a-espana-despues-de-10-anos-es-un-placer/ECTUFSOCUNCQDHFIPTCC24J5OA/
"La pandemia ha provocado resignificar espacios, tareas y roles. Uno de ellos, quizá el más prioritario, es la maternidad y paternidad, una tremenda responsabilidad en momentos de caos, y un gran desafío cuando reina la incertidumbre.",Guía para el uso infantil de tablets y pantallas,https://www.latercera.com//practico/noticia/guia-para-el-uso-infantil-de-tablets-y-pantallas/AYUK6PIVAND4DPP74U4FK74NDY/
"A medida que las cifras de la pandemia disminuyen en Chile, ya se comienza a hablar de levantar la cuarentena. La larga “hibernación nacional” estaría llegando a su fin. ","Cines, peluquerías, estadios, iglesias: estos son los lugares más peligrosos de la ciudad tras la cuarentena",https://www.latercera.com//que-pasa/noticia/cines-peluquerias-estadios-iglesias-estos-son-los-lugares-mas-peligrosos-de-la-ciudad-tras-la-cuarentena/Y3E22V2V6ZDVJDD5KDB5EJ7PDQ/
"En enero de 1989 la comedia The experts no marcó un impulso crucial en la filmografía de Kelly Preston, por entonces una veinteañera actriz que un mes antes había estrenado su rol de mayor relevancia, en Gemelos junto a Danny DeVito y Arnold Schwarzenegger. Tampoco energizó particularmente la de John Travolta, inmerso en un momento gris de su carrera luego de los éxitos de fines de los 70, Grease y Fiebre de sábado por la noche.",Kelly Preston: la turbulenta vida de la actriz junto a John Travolta,https://www.latercera.com//la-tercera-pm/noticia/kelly-preston-la-turbulenta-vida-de-la-actriz-junto-a-john-travolta/VB7I7WCMGBCSPCVRNNU2EADYEU/
"Falsos ejecutivos de cuentas bancarias que llaman por teléfono y compras por internet que no llegan a destino. Esas son las principales estafas que se incrementaron el primer semestre de este año, en comparación al mismo periodo de 2019. Un alza que la policía observa con atención, pues ocurre en el marco de la pandemia por coronavirus y en que la forma de interactuar de las personas ha experimentado una serie de cambios.",Fraudes en pandemia: suben estafas telefónicas y en redes sociales,https://www.latercera.com//nacional/noticia/fraudes-en-pandemia-suben-estafas-telefonicas-y-en-redes-sociales/I2FWLFGTJFHUNJFZAFNPG6RNIM/
