uid,body,title,url,newspaper_uid,host,n_tokens_titletitle,n_tokens_titlebody
67355a6da90ffd97ee82a65dce198afe,FUNGI FEST,Micelio,https://www.latercera.com//masdeco/micelio/,latercera,www.latercera.com,1.0,2.0
49cd4998bb61166921c274a1b1f2994e,Buenas noticias para todos los fanáticos de Star Wars y es que durante la jornada de hoy fue anunciada una nueva serie animada la cual tendrá por nombre Star Wars: The Bad Batch y se estrenará en 2021 a través de Disney+. ,‘The Bad Batch’: La nueva serie animada de Star Wars que se estrenará en 2021,https://www.latercera.com//mouse/the-bad-batch-la-nueva-serie-animada-de-star-wars-que-se-estrenara-en-2021/,latercera,www.latercera.com,9.0,19.0
52b901c631c93c55c4ef9e72e9f04297,Ingredientes para 24 unidades,Galletas cocadas,https://www.latercera.com//paula/galletas-cocadas/,latercera,www.latercera.com,2.0,2.0
bb8a1cd0fa430db7d7d67b6fd30f3fff,Este lunes se realizó la presentación oficial de Manuel Pellegrini como nuevo técnico del Real Betis por las próximas tres temporadas.,Pellegrini es presentado en el Real Betis: “Volver a España después de 10 años es un placer”,https://www.latercera.com//el-deportivo/noticia/pellegrini-es-presentado-en-el-real-betis-volver-a-espana-despues-de-10-anos-es-un-placer/ECTUFSOCUNCQDHFIPTCC24J5OA/,latercera,www.latercera.com,9.0,13.0
9d3722ab5dda1de2b65c5f10b3b6d60d,"La pandemia ha provocado resignificar espacios, tareas y roles. Uno de ellos, quizá el más prioritario, es la maternidad y paternidad, una tremenda responsabilidad en momentos de caos, y un gran desafío cuando reina la incertidumbre.",Guía para el uso infantil de tablets y pantallas,https://www.latercera.com//practico/noticia/guia-para-el-uso-infantil-de-tablets-y-pantallas/AYUK6PIVAND4DPP74U4FK74NDY/,latercera,www.latercera.com,5.0,18.0
4581ba31a0b7a948a30d2470ce7017bb,"A medida que las cifras de la pandemia disminuyen en Chile, ya se comienza a hablar de levantar la cuarentena. La larga “hibernación nacional” estaría llegando a su fin. ","Cines, peluquerías, estadios, iglesias: estos son los lugares más peligrosos de la ciudad tras la cuarentena",https://www.latercera.com//que-pasa/noticia/cines-peluquerias-estadios-iglesias-estos-son-los-lugares-mas-peligrosos-de-la-ciudad-tras-la-cuarentena/Y3E22V2V6ZDVJDD5KDB5EJ7PDQ/,latercera,www.latercera.com,9.0,14.0
7f085914feea4d877fefa6a52dcaf089,"En enero de 1989 la comedia The experts no marcó un impulso crucial en la filmografía de Kelly Preston, por entonces una veinteañera actriz que un mes antes había estrenado su rol de mayor relevancia, en Gemelos junto a Danny DeVito y Arnold Schwarzenegger. Tampoco energizó particularmente la de John Travolta, inmerso en un momento gris de su carrera luego de los éxitos de fines de los 70, Grease y Fiebre de sábado por la noche.",Kelly Preston: la turbulenta vida de la actriz junto a John Travolta,https://www.latercera.com//la-tercera-pm/noticia/kelly-preston-la-turbulenta-vida-de-la-actriz-junto-a-john-travolta/VB7I7WCMGBCSPCVRNNU2EADYEU/,latercera,www.latercera.com,8.0,40.0
b8926278459a76afea60e90592a08bc9,"Falsos ejecutivos de cuentas bancarias que llaman por teléfono y compras por internet que no llegan a destino. Esas son las principales estafas que se incrementaron el primer semestre de este año, en comparación al mismo periodo de 2019. Un alza que la policía observa con atención, pues ocurre en el marco de la pandemia por coronavirus y en que la forma de interactuar de las personas ha experimentado una serie de cambios.",Fraudes en pandemia: suben estafas telefónicas y en redes sociales,https://www.latercera.com//nacional/noticia/fraudes-en-pandemia-suben-estafas-telefonicas-y-en-redes-sociales/I2FWLFGTJFHUNJFZAFNPG6RNIM/,latercera,www.latercera.com,7.0,34.0
fcaf583932ebc3d24989463ba7896bee,"“El Ministerio de Relaciones Exteriores comunica que la ministra Karen Longaric dio positivo a los análisis de Covid-19. Con características asintomáticas, la canciller permanece en aislamiento en su domicilio y cumplirá con el tratamiento correspondiente”. Este comunicado fue el último que en los últimos días ha sorprendido a los bolivianos, cuyo gobierno interino ha sido uno de los más golpeados por la pandemia a nivel global. Así, la canciller se sumó a la lista de al menos 13 contagiados, encabezada por la propia Presidenta interina, Jeanine Áñez.",Bolivia: el gabinete más golpeado por la pandemia,https://www.latercera.com//mundo/noticia/bolivia-el-gabinete-mas-golpeado-por-la-pandemia/MW5ADIKI4VAJVHKRZVF55ZL3RU/,latercera,www.latercera.com,4.0,45.0
69d0d24b68bb4d86c31ed9357aab8280,"Cerca de las 17:00 horas de este domingo, personal de la 47° Comisaría de Los Dominicos de Carabineros realizó el hallazgo de dos personas fallecidas al interior de su domicilio en la comuna de Las Condes, al oriente de la Región Metropolitana.",Carabineros encuentra a dos adultos mayores fallecidos al interior de su hogar en Las Condes,https://www.latercera.com//nacional/noticia/carabineros-encuentra-a-dos-adultos-mayores-fallecidos-al-interior-de-su-hogar-en-las-condes/H5OHXMD57NEALE7MTVVITDZU7M/,latercera,www.latercera.com,9.0,19.0
